#SAMPLE	BIOSAMPLE	STUDY	ENVIRONMENT	SOURCE_SAMPLE_LINK
ACIN21-1_SAMN05422188_METAG	SAMN05422188	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422188/
ACIN21-1_SAMN05422189_METAG	SAMN05422189	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422189/
ACIN21-1_SAMN05422191_METAG	SAMN05422191	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422191/
ACIN21-1_SAMN05422192_METAG	SAMN05422192	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422192/
ACIN21-1_SAMN05422194_METAG	SAMN05422194	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422194/
ACIN21-1_SAMN05422195_METAG	SAMN05422195	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422195/
ACIN21-1_SAMN05422226_METAG	SAMN05422226	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422226/
AGAR17-1_SAMN04939363_METAG	SAMN04939363	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939363/
AGAR17-1_SAMN04939364_METAG	SAMN04939364	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939364/
AGAR17-1_SAMN04939365_METAG	SAMN04939365	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939365/
AGAR17-1_SAMN04939373_METAG	SAMN04939373	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939373/
AGAR17-1_SAMN04939375_METAG	SAMN04939375	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939375/
AGAR17-1_SAMN04939377_METAG	SAMN04939377	AGAR17-1	sponge metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN04939377/
ALNE18-1_SAMEA104408592_METAG	SAMEA104408592	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408592/
ALNE18-1_SAMEA104408593_METAG	SAMEA104408593	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408593/
ALNE18-1_SAMEA104408594_METAG	SAMEA104408594	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408594/
ALNE18-1_SAMEA104408595_METAG	SAMEA104408595	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408595/
ALNE18-1_SAMEA104408596_METAG	SAMEA104408596	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408596/
ALNE18-1_SAMEA104408597_METAG	SAMEA104408597	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408597/
ALNE18-1_SAMEA104408598_METAG	SAMEA104408598	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408598/
ALNE18-1_SAMEA104408599_METAG	SAMEA104408599	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408599/
ALNE18-1_SAMEA104408600_METAG	SAMEA104408600	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408600/
ALNE18-1_SAMEA104408601_METAG	SAMEA104408601	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408601/
ALNE18-1_SAMEA104408602_METAG	SAMEA104408602	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408602/
ALNE18-1_SAMEA104408603_METAG	SAMEA104408603	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408603/
ALNE18-1_SAMEA104408604_METAG	SAMEA104408604	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408604/
ALNE18-1_SAMEA104408605_METAG	SAMEA104408605	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408605/
ALNE18-1_SAMEA104408606_METAG	SAMEA104408606	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408606/
ALNE18-1_SAMEA104408607_METAG	SAMEA104408607	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408607/
ALNE18-1_SAMEA104408608_METAG	SAMEA104408608	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408608/
ALNE18-1_SAMEA104408609_METAG	SAMEA104408609	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408609/
ALNE18-1_SAMEA104408610_METAG	SAMEA104408610	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408610/
ALNE18-1_SAMEA104408611_METAG	SAMEA104408611	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408611/
ALNE18-1_SAMEA104408612_METAG	SAMEA104408612	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408612/
ALNE18-1_SAMEA104408613_METAG	SAMEA104408613	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408613/
ALNE18-1_SAMEA104408614_METAG	SAMEA104408614	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408614/
ALNE18-1_SAMEA104408615_METAG	SAMEA104408615	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408615/
ALNE18-1_SAMEA104408616_METAG	SAMEA104408616	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408616/
ALNE18-1_SAMEA104408617_METAG	SAMEA104408617	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408617/
ALNE18-1_SAMEA104408618_METAG	SAMEA104408618	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408618/
ALNE18-1_SAMEA104408619_METAG	SAMEA104408619	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408619/
ALNE18-1_SAMEA104408620_METAG	SAMEA104408620	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408620/
ALNE18-1_SAMEA104408621_METAG	SAMEA104408621	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408621/
ALNE18-1_SAMEA104408623_METAG	SAMEA104408623	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408623/
ALNE18-1_SAMEA104408624_METAG	SAMEA104408624	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408624/
ALNE18-1_SAMEA104408625_METAG	SAMEA104408625	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408625/
ALNE18-1_SAMEA104408626_METAG	SAMEA104408626	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408626/
ALNE18-1_SAMEA104408627_METAG	SAMEA104408627	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408627/
ALNE18-1_SAMEA104408628_METAG	SAMEA104408628	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408628/
ALNE18-1_SAMEA104408629_METAG	SAMEA104408629	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408629/
ALNE18-1_SAMEA104408630_METAG	SAMEA104408630	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408630/
ALNE18-1_SAMEA104408691_METAG	SAMEA104408691	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408691/
ALNE18-1_SAMEA104408692_METAG	SAMEA104408692	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408692/
ALNE18-1_SAMEA104408693_METAG	SAMEA104408693	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408693/
ALNE18-1_SAMEA104408694_METAG	SAMEA104408694	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408694/
ALNE18-1_SAMEA104408695_METAG	SAMEA104408695	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408695/
ALNE18-1_SAMEA104408696_METAG	SAMEA104408696	ALNE18-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA104408696/
ALNE20-1_SAMEA6236680_METAG	SAMEA6236680	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236680/
ALNE20-1_SAMEA6236681_METAG	SAMEA6236681	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236681/
ALNE20-1_SAMEA6236682_METAG	SAMEA6236682	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236682/
ALNE20-1_SAMEA6236683_METAG	SAMEA6236683	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236683/
ALNE20-1_SAMEA6236684_METAG	SAMEA6236684	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236684/
ALNE20-1_SAMEA6236685_METAG	SAMEA6236685	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236685/
ALNE20-1_SAMEA6236686_METAG	SAMEA6236686	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236686/
ALNE20-1_SAMEA6236687_METAG	SAMEA6236687	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236687/
ALNE20-1_SAMEA6236688_METAG	SAMEA6236688	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236688/
ALNE20-1_SAMEA6236689_METAG	SAMEA6236689	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236689/
ALNE20-1_SAMEA6236690_METAG	SAMEA6236690	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236690/
ALNE20-1_SAMEA6236691_METAG	SAMEA6236691	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236691/
ALNE20-1_SAMEA6236692_METAG	SAMEA6236692	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236692/
ALNE20-1_SAMEA6236693_METAG	SAMEA6236693	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236693/
ALNE20-1_SAMEA6236694_METAG	SAMEA6236694	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236694/
ALNE20-1_SAMEA6236695_METAG	SAMEA6236695	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236695/
ALNE20-1_SAMEA6236696_METAG	SAMEA6236696	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236696/
ALNE20-1_SAMEA6236697_METAG	SAMEA6236697	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236697/
ALNE20-1_SAMEA6236698_METAG	SAMEA6236698	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236698/
ALNE20-1_SAMEA6236699_METAG	SAMEA6236699	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236699/
ALNE20-1_SAMEA6236700_METAG	SAMEA6236700	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236700/
ALNE20-1_SAMEA6236701_METAG	SAMEA6236701	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236701/
ALNE20-1_SAMEA6236702_METAG	SAMEA6236702	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236702/
ALNE20-1_SAMEA6236703_METAG	SAMEA6236703	ALNE20-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMEA6236703/
